,Ano,Marca,Modelo,Usado/Novo,Preço,Classificação do Consumidor,Avaliações do consumidor,Tipo de vendedor,Nome do Vendedor,Avaliação do vendendor,Comentarios do vendedor,Rua do Vendedor,Estado,CEP,Qualidade do Negocio,Conforto,Desing do Interior,Desempenho,Preço Avaliado pelos consumidores,Desing Exterior,Confiabilidade,Cor do Exterior,Cor do Interior,Drivetrain,MinMPG,MaxMPG,Tipo de Combustivel,Transmissão,Motor,VIN,Stock#,Milhagem
0,2019,Toyota,Sienna SE,Usado,39998,4.6,45,Distribuidor,CarMax Murrieta - Now offering Curbside Pickup and Home Delivery,3.3,3,25560 Madison Ave Murrieta,CA,92562,Ótimo,4.7,4.6,4.6,4.4,4.6,4.7,Red,Black,Front-wheel Drive,19,27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,5TDXZ3DC2KS015402,22998646,29403
1,2018,Ford,F-150 Lariat,Usado,49985,4.8,817,Distribuidor,Giant Chevrolet,4.8,131,1001 S Ben Maddox Way Visalia,CA,93292,Bom,4.9,4.8,4.8,4.6,4.8,4.7,Shadow Black,Black,Four-wheel Drive,19,24,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTEW1EG2JFD44217,22418A,32929
2,2017,RAM,1500 Laramie,Usado,41860,4.7,495,Distribuidor,Gill Auto Group Madera,4.6,249,1100 S Madera Ave Madera,CA,93637,Bom,4.8,4.7,4.8,4.6,4.8,4.7,Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive,15,21,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6RR7VT5HS842283,NG277871G,23173
3,2021,Honda,Accord Sport SE,Usado,28500,5.0,36,Distribuidor,AutoSavvy Las Vegas,4.6,284,2121 E Sahara Ave Las Vegas,NV,89104,Sem Resposta,4.9,5.0,4.9,5.0,5.0,5.0,Gray,–,Front-wheel Drive,29,35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F49MA038035,54237,10598
4,2020,Lexus,RX 350,Usado,49000,4.8,76,Distribuidor,Lexus of Henderson,4.8,4755,7737 Eastgate Rd Henderson,NV,89011,Bom,4.9,4.8,4.8,4.7,4.8,4.9,Eminent White Pearl,Birch,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2AZMAA8LC156270,HDT4181A,28137
5,2012,Toyota,4Runner SR5,Usado,23541,4.7,34,Distribuidor,AutoNation Toyota Hayward,4.4,1071,24773 Mission Blvd Hayward,CA,94544,Razoável,4.7,4.6,4.4,4.6,4.9,4.9,Black,–,Rear-wheel Drive,17,23,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEZU5JR3C5043790,C5043790,105469
6,2017,Honda,HR-V LX,Usado,20995,4.6,200,Distribuidor,Downtown Toyota-Subaru of Oakland,4.4,2695,4145 Broadway Oakland,CA,94611,Ótimo,4.6,4.4,4.4,4.5,4.7,4.8,Modern Steel Metallic,Black,Front-wheel Drive,28,34,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU5H32HG703897,T1480,10458
7,2014,Mercedes-Benz,E-Class E 350,Usado,18985,4.8,176,Distribuidor,Downtown Toyota-Subaru of Oakland,4.4,2695,4145 Broadway Oakland,CA,94611,Ótimo,4.9,4.8,4.8,4.6,4.9,4.8,Lunar Blue Metallic,Saffron,Rear-wheel Drive,21,30,Gasoline,7-Speed Automatic,3.5L V6 24V GDI DOHC,WDDHF5KB3EA778099,224922A,58157
8,2021,Honda,Pilot Touring 8-Passenger,Usado,44299,4.8,63,Distribuidor,EchoPark Automotive Phoenix,4.9,237,10555 West Papago Freeway Avondale,AZ,85323,Bom,4.9,4.7,4.8,4.7,4.7,4.8,Platinum White Pearl,Beige,All-wheel Drive,19,26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H90MB052856,YMB052856,14445
9,2020,Dodge,Charger Scat Pack,Novo,46773,4.8,56,Distribuidor,Bill Luke Chrysler Jeep Dodge RAM,4.3,1366,2425 W Camelback Rd Phoenix,AZ,85015,Bom,4.9,4.8,4.9,4.7,4.9,4.9,Triple Nickel Clearcoat,Black,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ8LH157532,CBY705,25642
